,Артикул,Артикул-1,Краткое наименование,Наименование,Полное наименование,Цвет,Размер,Кол-во,Цена,Пол,Материал,Состав,Страна производства,Бренд,Вес брутто,Коллекция
1648,CAB 5419 ,CAJ 4122 -3,Пижамы,"CAB 5419 Комплект для девочки (джемпер, брюки)","CAB 5419 Комплект для девочки (джемпер, брюки) Серый меланж (092)-56",Серый меланж,(092)-56,3,347,Женский,"кулирная гладь, 100% хлопок",,,Cherubino,0.525,
1649,CAK 2354 ,CAJ 4122 -4,Майки бельевые,CAK 2354 Майка для девочки,CAK 2354 Майка для девочки Св.желтый (080)-48,Св.желтый,(080)-48,13,116,Женский,"рибана, 100% хлопок",,,Cherubino,0.728,
1650,CSK 62331,CAJ 4122 -5,Футболки,CSK 62331-1 (227) Футболка для мальчика,CSK 62331-1 (227) Футболка для мальчика Серый меланж (116)-60,Серый меланж,(116)-60,4,191,Мужской,"кулирная гладь, 80% хлопок, 20% п/э",,,Cherubino,0.32,Jurassic mania
1651,CSK 62341,CAJ 4122 -6,Лонгсливы,CSK 62341 (228) Джемпер для мальчика,CSK 62341 (228) Джемпер для мальчика Красный (110)-60,Красный,(110)-60,22,280,Мужской,"кулирная гладь, 80% хлопок, 20% п/э",,,Cherubino,2.266,Sport Spirit
1652,CH 8185,CAJ 4122 -7,Головные уборы,CH 8185 (232) Шапка для девочки,CH 8185 (232) Шапка для девочки Черный 50-52,Черный,50-52,8,136,Женский,"кулирная гладь, 92% хлопок, 8% эластан",,,Cherubino,0.408,Girl Power
1653,CSJ 62350,CAJ 4122 -8,Толстовки,CSJ 62350 (236) Куртка для мальчика,CSJ 62350 (236) Куртка для мальчика Серый меланж (146)-76,Серый меланж,(146)-76,3,791,Мужской,"футер петля, 90% хлопок, 10% п/э",,,Cherubino,1.077,Muzic Party
1654,CSJ 62380,CAJ 4122 -9,Лонгсливы,CSJ 62380 (232) Джемпер для девочки,CSJ 62380 (232) Джемпер для девочки Бирюзовый (140)-72,Бирюзовый,(140)-72,5,350,Женский,"кулирная гладь, 97% хлопок, 3% п/э",,,Cherubino,0.715,Girl Power
1655,CSK 62333,CAJ 4122 -10,Толстовки,CSK 62333 (227) Куртка для мальчика,CSK 62333 (227) Куртка для мальчика Синий (110)-60,Синий,(110)-60,5,649,Мужской,"футер петля, 100% хлопок",,,Cherubino,1.225,Jurassic mania
1656,CSK 62373,CAJ 4122 -11,Лонгсливы,CSK 62373 (224) Джемпер для девочки,CSK 62373 (224) Джемпер для девочки Арбузный (134)-68,Арбузный,(134)-68,6,284,Женский,"кулирная гладь, 100% хлопок",,,Cherubino,0.696,Girl Power
1657,CSK 62377,CAJ 4122 -12,Лонгсливы,CSK 62377 (224) Джемпер для девочки,CSK 62377 (224) Джемпер для девочки Морская волна (098)-56,Морская волна,(098)-56,5,264,Женский,"кулирная гладь, 92% хлопок, 8% эластан",,,Cherubino,0.56,Girl Power
