,Артикул,Артикул WB,Наименование,Полное наименование,Цвет,Размер,Кол-во,Пол,Материал
989,CSK 7860 (223) ,CSK7860(223)/,CSK 7860 (223) Бриджи для девочки,CSK 7860 (223) Бриджи для девочки Т.синий-Белый (110)-60,Т.синий-Белый,(110)-60,4,Женский,"кулирная гладь, 92% хлопок, 8% эластан"
990,CSK 5401,CSK5401/,"CSK 5401 Комплект для девочки (футболка, шорты)","CSK 5401 Комплект для девочки (футболка, шорты) Желтый (116)-60",Желтый,(116)-60,2,Женский,"кулирная гладь, 100% хлопок"
991,CSK 5413,CSK5413/,"CSK 5413 Комплект для мальчика (футболка, брюки)","CSK 5413 Комплект для мальчика (футболка, брюки) Мята (104)-56",Мята,(104)-56,2,Мужской,"кулирная гладь, 100% хлопок"
992,CSK 9844 (231),CSK9844(231)/,"CSK 9844 (231) Комплект для мальчика (футболка, шорты)","CSK 9844 (231) Комплект для мальчика (футболка, шорты) Синий (116)-60",Синий,(116)-60,2,Мужской,"кулирная гладь, 100% хлопок"
993,CSK 9844 (231),CSK9844(231)/,"CSK 9844 (231) Комплект для мальчика (футболка, шорты)","CSK 9844 (231) Комплект для мальчика (футболка, шорты) Красный (104)-56",Красный,(104)-56,2,Мужской,"кулирная гладь, 100% хлопок"
994,CSJ 5410,CSJ5410/,"CSJ 5410 Платье модель ""туника""","CSJ 5410 Платье модель ""туника"" Сиреневый (128)-64",Сиреневый,(128)-64,1,Женский,"кулирная гладь, 100% хлопок"
995,CSK 5402,CSK5402/,"CSK 5402 Комплект для девочки (футболка, шорты)","CSK 5402 Комплект для девочки (футболка, шорты) Св.розовый (092)-52",Св.розовый,(092)-52,1,Женский,"кулирная гладь, 100% хлопок"
996,CSJ 62390 (238) ,CSJ62390(238)/,CSJ 62390 (238) Майка для мальчика,CSJ 62390 (238) Майка для мальчика Т.синий (134)-68,Т.синий,(134)-68,2,Мужской,"кулирная гладь, 100% хлопок"
997,CSK 62430 (226) ,CSK62430(226)/,CSK 62430 (226) Футболка для девочки,CSK 62430 (226) Футболка для девочки Св.розовый (092)-52,Св.розовый,(092)-52,1,Женский,"кулирная гладь, 100% хлопок"
998,CSK 62430 (226) ,CSK62430(226)/,CSK 62430 (226) Футболка для девочки,CSK 62430 (226) Футболка для девочки Св.розовый (128)-64,Св.розовый,(128)-64,3,Женский,"кулирная гладь, 100% хлопок"
999,CSJ 62408 (233) ,CSJ62408(233)/,CSJ 62408 (233) Футболка для девочки,CSJ 62408 (233) Футболка для девочки Белый-Т.синий (128)-64,Белый-Т.синий,(128)-64,6,Женский,"кулирная гладь, 100% хлопок"
1000,CSJ 62408 (233) ,CSJ62408(233)/,CSJ 62408 (233) Футболка для девочки,CSJ 62408 (233) Футболка для девочки Белый-Т.синий (158)-80,Белый-Т.синий,(158)-80,3,Женский,"кулирная гладь, 100% хлопок"
1001,CSK 62369 (223),CSK62369(223)/,"CSK 62369 (223) Платье типа ""туника"" для девочки","CSK 62369 (223) Платье типа ""туника"" для девочки Белый-Т.синий (110)-60",Белый-Т.синий,(110)-60,3,Женский,"кулирная гладь, 100% хлопок"
1002,CSJ 62421 (234),CSJ62421(234)/,CSJ 62421 (234) Футболка для девочки,CSJ 62421 (234) Футболка для девочки Экрю (140)-72,Экрю,(140)-72,6,Женский,"кулирная гладь, 100% хлопок"
1003,CSJ 62421 (234),CSJ62421(234)/,CSJ 62421 (234) Футболка для девочки,CSJ 62421 (234) Футболка для девочки Коралловый (134)-68,Коралловый,(134)-68,3,Женский,"кулирная гладь, 100% хлопок"
1004,CSJ 62411 (233),CSJ62411(233)/,"CSJ 62411 (233) Платье типа ""туника"" для девочки","CSJ 62411 (233) Платье типа ""туника"" для девочки Белый-Т.синий (146)-76",Белый-Т.синий,(146)-76,2,Женский,"кулирная гладь, 100% хлопок"
1005,CSK 62402 (230),CSK62402(230)/,CSK 62402 (230) Футболка для мальчика,CSK 62402 (230) Футболка для мальчика Желтый-Белый (104)-56,Желтый-Белый,(104)-56,2,Мужской,"кулирная гладь, 100% хлопок"
1006,CAJ 62443 ,CAJ62443/,CAJ 62443 Джемпер для мальчика,CAJ 62443 Джемпер для мальчика Василек (128)-64,Василек,(128)-64,3,Мужской,"рибана, 95% хлопок, 5% эластан"
1007,CAJ 9856 ,CAJ9856/,"CAJ 9856 Комплект для мальчика (футболка, шорты)","CAJ 9856 Комплект для мальчика (футболка, шорты) Изумрудный-Черный (110)-60",Изумрудный-Черный,(110)-60,4,Мужской,"кулирная гладь, 100% хлопок"
1008,CAJ 1495 ,CAJ1495/,CAJ 1495 Трусы для девочки,CAJ 1495 Трусы для девочки Св.розовый (146)-76,Св.розовый,(146)-76,11,Женский,"рибана, 100% хлопок"
1009,CAJ 62442,CAJ62442/,CAJ 62442 Футболка для мальчика,CAJ 62442 Футболка для мальчика Черный (134)-68,Черный,(134)-68,35,Мужской,"кулирная гладь, 100% хлопок"
1010,CAJ 62445 ,CAJ62445/,CAJ 62445 Водолазка для девочки,CAJ 62445 Водолазка для девочки Голубой (140)-72,Голубой,(140)-72,2,Женский,"кашкорсе, 95% хлопок, 5% эластан"
1011,CAJ 62447,CAJ62447/,CAJ 62447 Джемпер для девочки,CAJ 62447 Джемпер для девочки Белый (158)-80,Белый,(158)-80,19,Женский,"кулирная гладь, 92% хлопок, 8% элатсан; сетка, 90% нейлон, 10% эластан"
