,Артикул,Артикул WB,Наименование,Полное наименование,Цвет,Размер,Кол-во,Пол,Материал
3032,CWK 62262 (211) ,CWK62262(211)/,CWK 62262 (211) Джемпер для девочки,CWK 62262 (211) Джемпер для девочки Серый меланж (104)-56,Серый меланж,(104)-56,1,Женский,"Футер петля, 100% хлопок"
3033,CWK 62265 (211),CWK62265(211)/,"CWK 62265 (211) Платье типа ""туника"" для девочки","CWK 62265 (211) Платье типа ""туника"" для девочки Серый меланж-Т.синий (122)-64",Серый меланж-Т.синий,(122)-64,14,Женский,"Футер петля, 100% хлопок"
3034,CWK 62266 (210),CWK62266(210)/,CWK 62266 (210) Футболка для девочки,CWK 62266 (210) Футболка для девочки Т.вишневый (122)-64,Т.вишневый,(122)-64,2,Женский,"Кулирная гладь, 100% хлопок"
3035,CWK 62273 (210) ,CWK62273(210)/,"CWK 62273 (210) Платье типа ""туника"" для девочки","CWK 62273 (210) Платье типа ""туника"" для девочки Желтый (116)-60",Желтый,(116)-60,2,Женский,"Футер с начесом, 100% хлопок"
3036,CWK 62292 (212) ,CWK62292(212)/,CWK 62292 (212) Джемпер для мальчика,CWK 62292 (212) Джемпер для мальчика Синий (122)-64,Синий,(122)-64,1,Мужской,"Кулирная гладь, 100% хлопок"
3037,CWK 62293 (212),CWK62293(212)/,CWK 62293 (212) Водолазка для мальчика,CWK 62293 (212) Водолазка для мальчика Черный (122)-64,Черный,(122)-64,4,Мужской,"Футер с начесом, 100% хлопок"
3038,CWN 4135 (126) ,CWN4135(126)/,CWN 4135 (126) Боди ясельное,CWN 4135 (126) Боди ясельное Розовый (062)-40,Розовый,(062)-40,22,Женский,"Интерлок, 100% хлопок"
3039,CWN 4154 (164) ,CWN4154(164)/,CWN 4154 (164) Боди-водолазка ясельная,CWN 4154 (164) Боди-водолазка ясельная Экрю (086)-52,Экрю,(086)-52,21,Женский,"Интерлок, 100% хлопок"
3040,CWN 61232 (128) ,CWN61232(128)/,CWN 61232 (128) Джемпер ясельный,CWN 61232 (128) Джемпер ясельный Экрю (068)-44,Экрю,(068)-44,9,Женский,"Интерлок, 100% хлопок"
3041,CWN 61418 (129) ,CWN61418(129)/,CWN 61418 (129) Кофточка ясельная,CWN 61418 (129) Кофточка ясельная Экрю (056)-36,Экрю,(056)-36,73,Мужской,"Интерлок, 100% хлопок"
3042,CWN 61421 (130) ,CWN61421(130)/,CWN 61421 (130) Рубашечка ясельная,CWN 61421 (130) Рубашечка ясельная Белый (062)-40,Белый,(062)-40,36,Мужской,"Рибана, 100% хлопок"
3043,CWN 61421 (130) ,CWN61421(130)/,CWN 61421 (130) Рубашечка ясельная,CWN 61421 (130) Рубашечка ясельная Белый (074)-48,Белый,(074)-48,16,Мужской,"Рибана, 100% хлопок"
3044,CWN 61421 (130) ,CWN61421(130)/,CWN 61421 (130) Рубашечка ясельная,CWN 61421 (130) Рубашечка ясельная Св.бирюзовый (056)-36,Св.бирюзовый,(056)-36,2,Мужской,"Рибана, 100% хлопок"
3045,CWN 61724 (156) ,CWN61724(156)/,CWN 61724 (156) Рубашечка ясельная,CWN 61724 (156) Рубашечка ясельная Св.розовый (086)-52,Св.розовый,(086)-52,6,Женский,"Рибана, 100% хлопок"
3046,CWN 7624 (156),CWN7624(156)/,CWN 7624 (156) Штанишки ясельные,CWN 7624 (156) Штанишки ясельные Св.розовый (062)-40,Св.розовый,(062)-40,46,Женский,"Футер с начесом, 100% хлопок"
3047,CWN 7627 (157) ,CWN7627(157)/,CWN 7627 (157) Штанишки ясельные,CWN 7627 (157) Штанишки ясельные Салатовый (074)-48,Салатовый,(074)-48,26,Мужской,"Футер с начесом, 100% хлопок"
3048,CWN 7717 (184) ,CWN7717(184)/,CWN 7717 (184) Ползунки ясельные,CWN 7717 (184) Ползунки ясельные Бежевый меланж (062)-40,Бежевый меланж,(062)-40,1,Женский,"Футер с начесом, 100% хлопок"
3049,CWN 9523 (128) ,CWN9523(128)/,CWN 9523 (128) Комбинезон ясельный,CWN 9523 (128) Комбинезон ясельный Бирюзовый (062)-40,Бирюзовый,(062)-40,11,Женский,"Велюр, 80% хлопок, 20% п/э"
3050,CWN 9526 (131) ,CWN9526(131)/,"CWN 9526 (131) Комплект ясельный (джемпер, брюки)","CWN 9526 (131) Комплект ясельный (джемпер, брюки) Синий (068)-44",Синий,(068)-44,19,Мужской,"Велюр, 80% хлопок, 20% п/э"
3051,CWN 9527 (131) ,CWN9527(131)/,"CWN 9527 (131) Комплект ясельный (рубашечка, ползунки, шапочка)","CWN 9527 (131) Комплект ясельный (рубашечка, ползунки, шапочка) Синий (068)-44",Синий,(068)-44,23,Мужской,"Шапочка, ползунки - Велюр, 80% хлопок, 20% п/э; Рубашечка - Интерлок, 100% хлопок"
3052,CWN 9529 (131) ,CWN9529(131)/,CWN 9529 (131) Комбинезон ясельный,CWN 9529 (131) Комбинезон ясельный Синий (068)-44,Синий,(068)-44,13,Мужской,"Велюр, 80% хлопок, 20% п/э"
3053,CWN 9672 (156) ,CWN9672(156)/,"CWN 9672 (156) Комплект ясельный (рубашечка, ползунки)","CWN 9672 (156) Комплект ясельный (рубашечка, ползунки) Персиковый (056)-36",Персиковый,(056)-36,8,Женский,"Футер с начесом, 100% хлопок"
3054,CAK 4148,CAK4148/,CAK 4148 Купальник гимнастический,CAK 4148 Купальник гимнастический Белый (116)-60,Белый,(116)-60,148,Женский,"Кулирная гладь, 92% хлопок, 8% эластан; 100% нейлон"
3055,CAK 61386 ,CAK61386/,CAK 61386 Водолазка для девочки,CAK 61386 Водолазка для девочки Св.голубой (104)-56,Св.голубой,(104)-56,36,Женский,"Кашкорсе, 95% хлопок, 5% эластан"
3056,CSK 62341 (228) ,CSK62341(228)/,CSK 62341 (228) Джемпер для мальчика,CSK 62341 (228) Джемпер для мальчика Синий (092)-52,Синий,(092)-52,38,Мужской,"кулирная гладь, 80% хлопок, 20% п/э"
3057,CSK 62341 (228) ,CSK62341(228)/,CSK 62341 (228) Джемпер для мальчика,CSK 62341 (228) Джемпер для мальчика Синий (104)-56,Синий,(104)-56,22,Мужской,"кулирная гладь, 80% хлопок, 20% п/э"
3058,CAK 2303 ,CAK2303/,CAK 2303 Майка детская,CAK 2303 Майка детская Белый (110-116)-60,Белый,(110-116)-60,671,Мужской,"кулирная гладь, 100% хлопок"
3059,CSJ 62380 (232) ,CSJ62380(232)/,CSJ 62380 (232) Джемпер для девочки,CSJ 62380 (232) Джемпер для девочки Бирюзовый (128)-64,Бирюзовый,(128)-64,5,Женский,"кулирная гладь, 97% хлопок, 3% п/э"
3060,CSK 62337 (228),CSK62337(228)/,CSK 62337 (228) Куртка для мальчика,CSK 62337 (228) Куртка для мальчика Серый меланж (104)-56,Серый меланж,(104)-56,1,Мужской,"футер петля, 90% хлопок, 10% п/э"
3061,CSK 62372 (224),CSK62372(224)/,CSK 62372 (224) Джемпер для девочки,CSK 62372 (224) Джемпер для девочки Экрю (116)-60,Экрю,(116)-60,4,Женский,"кулирная гладь, 97% хлопок, 3% п/э"
3062,CSK 62373 (224),CSK62373(224)/,CSK 62373 (224) Джемпер для девочки,CSK 62373 (224) Джемпер для девочки Морская волна (116)-60,Морская волна,(116)-60,4,Женский,"кулирная гладь, 100% хлопок"
3063,CH 8196 (224),CH8196(224)/,"CH 8196 (224) Комплект для девочки (шапка, снуд)","CH 8196 (224) Комплект для девочки (шапка, снуд) Салатовый 50-52 (s)",Салатовый,50-52 (s),2,Женский,"рибана, 92% хлопок, 3% п/э, 5% эластан"
3064,CJ 7T114 (237) ,CJ7T114(237)/,CJ 7T114 (237) Брюки для мальчика,CJ 7T114 (237) Брюки для мальчика Т.серый (158)-80,Т.серый,(158)-80,2,Мужской,"поплин, 100% хлопок"
3065,CAK 3503,CAK3503/,"CAK 3503 Комплект для девочки (майка, трусы)","CAK 3503 Комплект для девочки (майка, трусы) Св.розовый (122-128)-64",Св.розовый,(122-128)-64,1,Женский,"рибана, 100% хлопок"
3066,CJ 6T110 (239),CJ6T110(239)/,CJ 6T110 (239) Рубашка для мальчика,CJ 6T110 (239) Рубашка для мальчика Оранжевый (140)-72,Оранжевый,(140)-72,2,Мужской,"сорочечная, 100% хлопок"
3067,CSK 62424 (225),CSK62424(225)/,CSK 62424 (225) Футболка для девочки,CSK 62424 (225) Футболка для девочки Св.желтый (110)-60,Св.желтый,(110)-60,3,Женский,"кулирная гладь, 100% хлопок"
3068,CSK 62425 (225),CSK62425(225)/,CSK 62425 (225) Футболка для девочки,CSK 62425 (225) Футболка для девочки Бирюзовый (104)-56,Бирюзовый,(104)-56,1,Женский,"кулирная гладь, 100% хлопок"
3069,CSK 62416 (231) ,CSK62416(231)/,CSK 62416 (231) Футболка для мальчика,CSK 62416 (231) Футболка для мальчика Белый (104)-56,Белый,(104)-56,3,Мужской,"кулирная гладь, 100% хлопок"
3070,CSK 62416 (231) ,CSK62416(231)/,CSK 62416 (231) Футболка для мальчика,CSK 62416 (231) Футболка для мальчика Белый (122)-64,Белый,(122)-64,3,Мужской,"кулирная гладь, 100% хлопок"
3071,CSK 62416 (231) ,CSK62416(231)/,CSK 62416 (231) Футболка для мальчика,CSK 62416 (231) Футболка для мальчика Синий (122)-64,Синий,(122)-64,3,Мужской,"кулирная гладь, 100% хлопок"
3072,CSJ 7858 (237),CSJ7858(237)/,CSJ 7858 (237) Шорты для мальчика,CSJ 7858 (237) Шорты для мальчика Оливковый (140)-72,Оливковый,(140)-72,3,Мужской,"кулирная гладь, 100% хлопок"
3073,CSK 7890 (226),CSK7890(226)/,CSK 7890 (226) Бриджи для девочки,CSK 7890 (226) Бриджи для девочки Т.фуксия (098)-56,Т.фуксия,(098)-56,5,Женский,"кулирная гладь, 92% хлопок, 8% эластан"
3074,CSK 7881 (225) ,CSK7881(225)/,CSK 7881 (225) Бриджи для девочки,CSK 7881 (225) Бриджи для девочки Морская волна (134)-68,Морская волна,(134)-68,6,Женский,"кулирная гладь, 92% хлопок, 8% эластан"
3075,CSK 7860 (223) ,CSK7860(223)/,CSK 7860 (223) Бриджи для девочки,CSK 7860 (223) Бриджи для девочки Т.синий-Белый (104)-56,Т.синий-Белый,(104)-56,5,Женский,"кулирная гладь, 92% хлопок, 8% эластан"
3076,CSK 62366 (223) ,CSK62366(223)/,CSK 62366 (223) Джемпер для девочки,CSK 62366 (223) Джемпер для девочки Т.синий-Белый (128)-64,Т.синий-Белый,(128)-64,5,Женский,"кулирная гладь, 92% хлопок, 8% эластан"
3077,CSJ 62409 (233) ,CSJ62409(233)/,CSJ 62409 (233) Футболка для девочки,CSJ 62409 (233) Футболка для девочки Красный (140)-72,Красный,(140)-72,2,Женский,"кулирная гладь, 100% хлопок"
3078,CSK 9842 (230),CSK9842(230)/,"CSK 9842 (230) Комплект для мальчика (футболка, шорты)","CSK 9842 (230) Комплект для мальчика (футболка, шорты) Желтый (122)-64",Желтый,(122)-64,3,Мужской,"кулирная гладь, 100% хлопок"
3079,CSK 9842 (230),CSK9842(230)/,"CSK 9842 (230) Комплект для мальчика (футболка, шорты)","CSK 9842 (230) Комплект для мальчика (футболка, шорты) Голубой (134)-68",Голубой,(134)-68,2,Мужской,"кулирная гладь, 100% хлопок"
3080,CSJ 62388 (238),CSJ62388(238)/,CSJ 62388 (238) Футболка для мальчика,CSJ 62388 (238) Футболка для мальчика Зеленый (128)-64,Зеленый,(128)-64,3,Мужской,"кулирная гладь, 100% хлопок"
3081,CSK 62368 (223),CSK62368(223)/,CSK 62368 (223) Футболка для девочки,CSK 62368 (223) Футболка для девочки Белый-Т.синий (116)-60,Белый-Т.синий,(116)-60,3,Женский,"кулирная гладь, 100% хлопок"
3082,CSK 62368 (223),CSK62368(223)/,CSK 62368 (223) Футболка для девочки,CSK 62368 (223) Футболка для девочки Белый-Т.синий (122)-64,Белый-Т.синий,(122)-64,2,Женский,"кулирная гладь, 100% хлопок"
3083,CSJ 62421 (234),CSJ62421(234)/,CSJ 62421 (234) Футболка для девочки,CSJ 62421 (234) Футболка для девочки Бирюзовый (140)-72,Бирюзовый,(140)-72,1,Женский,"кулирная гладь, 100% хлопок"
3084,CSK 62417 (231) ,CSK62417(231)/,CSK 62417 (231) Футболка для мальчика,CSK 62417 (231) Футболка для мальчика Синий (122)-64,Синий,(122)-64,2,Мужской,"кулирная гладь, 100% хлопок"
3085,CAK 2347,CAK2347/,CAK 2347 Майка для мальчика,CAK 2347 Майка для мальчика Синий (092)-52,Синий,(092)-52,2,Мужской,"кулирная гладь, 100% хлопок"
3086,CSK 62402 (230),CSK62402(230)/,CSK 62402 (230) Футболка для мальчика,CSK 62402 (230) Футболка для мальчика Желтый-Белый (110)-60,Желтый-Белый,(110)-60,1,Мужской,"кулирная гладь, 100% хлопок"
3087,CK 7T121 (231),CK7T121(231)/,CK 7T121 (231) Шорты для мальчика,CK 7T121 (231) Шорты для мальчика Т.синий (104)-56,Т.синий,(104)-56,2,Мужской,"поплин, 100% хлопок"
3088,CK 7T121 (231),CK7T121(231)/,CK 7T121 (231) Шорты для мальчика,CK 7T121 (231) Шорты для мальчика Т.синий (110)-60,Т.синий,(110)-60,3,Мужской,"поплин, 100% хлопок"
3089,CSJ 62364 (237),CSJ62364(237)/,CSJ 62364 (237) Футболка для мальчика,CSJ 62364 (237) Футболка для мальчика Оранжевый (140)-72,Оранжевый,(140)-72,2,Мужской,"кулирная гладь, 100% хлопок"
3090,CSK 7878 (231),CSK7878(231)/,CSK 7878 (231) Шорты для мальчика,CSK 7878 (231) Шорты для мальчика Синий (110)-60,Синий,(110)-60,2,Мужской,"кулирная гладь, 100% хлопок"
3091,CAJ 61166-1 ,CAJ61166-1/,CAJ 61166-1 Водолазка для мальчика,CAJ 61166-1 Водолазка для мальчика Серый меланж (158)-80,Серый меланж,(158)-80,30,Мужской,"кашкорсе, 76% хлопок, 19% п/э, 5% эластан"
3092,CAJ 62443 ,CAJ62443/,CAJ 62443 Джемпер для мальчика,CAJ 62443 Джемпер для мальчика Красный (104)-56,Красный,(104)-56,9,Мужской,"рибана, 95% хлопок, 5% эластан"
3093,CAJ 62443 ,CAJ62443/,CAJ 62443 Джемпер для мальчика,CAJ 62443 Джемпер для мальчика Красный (116)-60,Красный,(116)-60,9,Мужской,"рибана, 95% хлопок, 5% эластан"
3094,CAJ 62443 ,CAJ62443/,CAJ 62443 Джемпер для мальчика,CAJ 62443 Джемпер для мальчика Черный (098)-56,Черный,(098)-56,46,Мужской,"рибана, 95% хлопок, 5% эластан"
3095,CAJ 62443 ,CAJ62443/,CAJ 62443 Джемпер для мальчика,CAJ 62443 Джемпер для мальчика Черный (134)-68,Черный,(134)-68,8,Мужской,"рибана, 95% хлопок, 5% эластан"
3096,CAJ 62443-1 ,CAJ62443-1/,CAJ 62443-1 Джемпер для мальчика,CAJ 62443-1 Джемпер для мальчика Серый меланж (104)-56,Серый меланж,(104)-56,33,Мужской,"рибана, 76% хлопок, 19% п/э, 5% эластан"
3097,CAJ 9856 ,CAJ9856/,"CAJ 9856 Комплект для мальчика (футболка, шорты)","CAJ 9856 Комплект для мальчика (футболка, шорты) Бирюзовый-Т.синий (116)-60",Бирюзовый-Т.синий,(116)-60,9,Мужской,"кулирная гладь, 100% хлопок"
3098,CAJ 9856 ,CAJ9856/,"CAJ 9856 Комплект для мальчика (футболка, шорты)","CAJ 9856 Комплект для мальчика (футболка, шорты) Желтый-Т.синий (134)-68",Желтый-Т.синий,(134)-68,27,Мужской,"кулирная гладь, 100% хлопок"
3099,CAJ 1495 ,CAJ1495/,CAJ 1495 Трусы для девочки,CAJ 1495 Трусы для девочки Экрю (134)-68,Экрю,(134)-68,4,Женский,"рибана, 100% хлопок"
3100,CAK 1494,CAK1494/,CAK 1494 Трусы для девочки,CAK 1494 Трусы для девочки Св.розовый (110-116)-60,Св.розовый,(110-116)-60,25,Женский,"рибана, 100% хлопок"
3101,CAJ 62442,CAJ62442/,CAJ 62442 Футболка для мальчика,CAJ 62442 Футболка для мальчика Василек (116)-60,Василек,(116)-60,1,Мужской,"кулирная гладь, 100% хлопок"
3102,CAK 7587-1,CAK7587-1/,CAK 7587-1 Шорты для мальчика,CAK 7587-1 Шорты для мальчика Серый меланж (098)-56,Серый меланж,(098)-56,22,Мужской,"кулирная гладь, 80% хлопок, 20% п/э"
3103,CAJ 62445 ,CAJ62445/,CAJ 62445 Водолазка для девочки,CAJ 62445 Водолазка для девочки Розовый (152)-80,Розовый,(152)-80,32,Женский,"кашкорсе, 95% хлопок, 5% эластан"
3104,CAJ 62456,CAJ62456/,CAJ 62456 Джемпер для девочки,CAJ 62456 Джемпер для девочки Белый (128)-64,Белый,(128)-64,1,Женский,"кулирная гладь, 92% хлопок, 8% эластан"
3105,CAJ 62450,CAJ62450/,CAJ 62450 Водолазка для девочки,CAJ 62450 Водолазка для девочки Серебро (140)-72,Серебро,(140)-72,8,Женский,"кулирная гладь, 92% хлопок, 8% эластан"
3106,CAJ 62453 ,CAJ62453/,CAJ 62453 Водолазка для девочки,CAJ 62453 Водолазка для девочки Белый-Т.синий (134)-68,Белый-Т.синий,(134)-68,16,Женский,"кулирная гладь, 92% хлопок, 8% эластан"
3107,CAJ 62460,CAJ62460/,CAJ 62460 Водолазка для девочки,CAJ 62460 Водолазка для девочки Белый (128)-64,Белый,(128)-64,22,Женский,"интерлок, 100% хлопок"
3108,CAJ 62460,CAJ62460/,CAJ 62460 Водолазка для девочки,CAJ 62460 Водолазка для девочки Голубой (158)-80,Голубой,(158)-80,41,Женский,"интерлок, 100% хлопок"
3109,CAJ 5432,CAJ5432/,"CAJ 5432 Платье модель ""туника"" для девочки","CAJ 5432 Платье модель ""туника"" для девочки Св.бирюзовый (152)-80",Св.бирюзовый,(152)-80,27,Женский,"кулирная гладь, 100% хлопок"
3110,CAK 2303 ,CAK2303/,CAK 2303 Майка детская,CAK 2303 Майка детская Белый (122-128)-64,Белый,(122-128)-64,969,Мужской,"кулирная гладь, 100% хлопок"
3111,CSJ 62352 (236) ,CSJ62352(236)/,CSJ 62352 (236) Джемпер для мальчика,CSJ 62352 (236) Джемпер для мальчика Т.серый меланж (158)-80,Т.серый меланж,(158)-80,13,Мужской,"кулирная гладь повышенной плотности, 80% хлопок, 20% п/э"
3112,CSK 62339 (228),CSK62339(228)/,CSK 62339 (228) Джемпер для мальчика,CSK 62339 (228) Джемпер для мальчика Т.серый меланж (128)-64,Т.серый меланж,(128)-64,1,Мужской,"кулирная гладь повышенной плотности, 80% хлопок, 20% п/э"
3113,CSK 7841 (222),CSK7841(222)/,CSK 7841 (222) Шорты для мальчика,CSK 7841 (222) Шорты для мальчика Т.синий (116)-60,Т.синий,(116)-60,3,Мужской,"кулирная гладь, 100% хлопок"
3114,CSK 7841 (222),CSK7841(222)/,CSK 7841 (222) Шорты для мальчика,CSK 7841 (222) Шорты для мальчика Т.синий (128)-64,Т.синий,(128)-64,5,Мужской,"кулирная гладь, 100% хлопок"
3115,CSK 7861 (224),CSK7861(224)/,CSK 7861 (224) Брюки для девочки,CSK 7861 (224) Брюки для девочки Морская волна (098)-56,Морская волна,(098)-56,2,Женский,"футер петля, 75% хлопок, 25% п/э"
3116,CSK 7861 (224),CSK7861(224)/,CSK 7861 (224) Брюки для девочки,CSK 7861 (224) Брюки для девочки Морская волна (122)-64,Морская волна,(122)-64,1,Женский,"футер петля, 75% хлопок, 25% п/э"
3117,CSK 7863 (224),CSK7863(224)/,"CSK 7863 (224) Брюки типа ""лосины"" для девочки","CSK 7863 (224) Брюки типа ""лосины"" для девочки Морская волна (134)-68",Морская волна,(134)-68,1,Женский,"кулирная гладь, 92% хлопок, 8% эластан"
3118,CH 8194 (224) ,CH8194(224)/,"CH 8194 (224) Комплект для девочки (шапка, снуд)","CH 8194 (224) Комплект для девочки (шапка, снуд) Салатовый 54-56 (m)",Салатовый,54-56 (m),5,Женский,"кулирная гладь, 92% хлопок, 8% эластан"
3119,CH 8195 (232) ,CH8195(232)/,"CH 8195 (232) Комплект для девочки (шапка, снуд)","CH 8195 (232) Комплект для девочки (шапка, снуд) Салатовый 52-54 (s)",Салатовый,52-54 (s),2,Женский,"рибана, 92% хлопок, 3% п/э, 5% эластан"
3120,CAJ 1471,CAJ1471/,CAJ 1471 Трусы для девочки,CAJ 1471 Трусы для девочки Белый-Роза (164)-84,Белый-Роза,(164)-84,3,Женский,"кулирная гладь, 92% хлопок, 8% эластан"
3121,CSK 62424 (225),CSK62424(225)/,CSK 62424 (225) Футболка для девочки,CSK 62424 (225) Футболка для девочки Св.желтый (122)-64,Св.желтый,(122)-64,1,Женский,"кулирная гладь, 100% хлопок"
3122,CSK 62424 (225),CSK62424(225)/,CSK 62424 (225) Футболка для девочки,CSK 62424 (225) Футболка для девочки Св.желтый (134)-68,Св.желтый,(134)-68,2,Женский,"кулирная гладь, 100% хлопок"
3123,CSK 62416 (231) ,CSK62416(231)/,CSK 62416 (231) Футболка для мальчика,CSK 62416 (231) Футболка для мальчика Т.синий (122)-64,Т.синий,(122)-64,3,Мужской,"кулирная гладь, 100% хлопок"
3124,СK 7T113 (229),СK7T113(229)/,СK 7T113 (229) Шорты для мальчика,СK 7T113 (229) Шорты для мальчика Оливковый (116)-60,Оливковый,(116)-60,2,Мужской,"поплин, 100% хлопок"
3125,CSJ 7879 (234) ,CSJ7879(234)/,CSJ 7879 (234) Бриджи для девочки,CSJ 7879 (234) Бриджи для девочки Т.синий (158)-80,Т.синий,(158)-80,54,Женский,"кулирная гладь, 92% хлопок, 8% эластан"
3126,CSK 7859 (223),CSK7859(223)/,CSK 7859 (223) Бриджи для девочки,CSK 7859 (223) Бриджи для девочки Красный (110)-60,Красный,(110)-60,2,Женский,"кулирная гладь, 92% хлопок, 8% эластан"
3127,CSK 7850 (222),CSK7850(222)/,CSK 7850 (222) Бриджи для девочки,CSK 7850 (222) Бриджи для девочки Фуксия (134)-68,Фуксия,(134)-68,6,Женский,"кулирная гладь, 92% хлопок, 8% эластан"
3128,CSK 5403,CSK5403/,"CSK 5403 Комплект для девочки (футболка, бриджи)","CSK 5403 Комплект для девочки (футболка, бриджи) Сиреневый (116)-60",Сиреневый,(116)-60,1,Женский,"кулирная гладь, 100% хлопок"
3129,CSK 5413,CSK5413/,"CSK 5413 Комплект для мальчика (футболка, брюки)","CSK 5413 Комплект для мальчика (футболка, брюки) Оранжевый (122)-64",Оранжевый,(122)-64,1,Мужской,"кулирная гладь, 100% хлопок"
3130,CSJ 62419 (234),CSJ62419(234)/,CSJ 62419 (234) Футболка для девочки,CSJ 62419 (234) Футболка для девочки Св.желтый (134)-68,Св.желтый,(134)-68,4,Женский,"кулирная гладь, 100% хлопок"
3131,CSK 62431 (226),CSK62431(226)/,CSK 62431 (226) Футболка для девочки,CSK 62431 (226) Футболка для девочки Лаванда (134)-68,Лаванда,(134)-68,1,Женский,"кулирная гладь, 92% хлопок, 8% эластан"
3132,CSJ 62388 (238),CSJ62388(238)/,CSJ 62388 (238) Футболка для мальчика,CSJ 62388 (238) Футболка для мальчика Желтый (134)-68,Желтый,(134)-68,3,Мужской,"кулирная гладь, 100% хлопок"
3133,CSK 62369 (223),CSK62369(223)/,"CSK 62369 (223) Платье типа ""туника"" для девочки","CSK 62369 (223) Платье типа ""туника"" для девочки Белый-Т.синий (098)-56",Белый-Т.синий,(098)-56,3,Женский,"кулирная гладь, 100% хлопок"
3134,CSK 5406,CSK5406/,"CSK 5406 Платье модель ""туника""","CSK 5406 Платье модель ""туника"" Розовый (116)-60",Розовый,(116)-60,3,Женский,"кулирная гладь, 100% хлопок"
3135,CSK 62362 (229),CSK62362(229)/,CSK 62362 (229) Футболка для мальчика,CSK 62362 (229) Футболка для мальчика Желтый (116)-60,Желтый,(116)-60,2,Мужской,"кулирная гладь, 100% хлопок"
3136,CSK 62370 (223),CSK62370(223)/,CSK 62370 (223) Футболка для девочки,CSK 62370 (223) Футболка для девочки Красный (116)-60,Красный,(116)-60,3,Женский,"кулирная гладь, 100% хлопок"
3137,CSK 62417 (231) ,CSK62417(231)/,CSK 62417 (231) Футболка для мальчика,CSK 62417 (231) Футболка для мальчика Красный (110)-60,Красный,(110)-60,6,Мужской,"кулирная гладь, 100% хлопок"
3138,CSK 62418 (231),CSK62418(231)/,CSK 62418 (231) Футболка для мальчика,CSK 62418 (231) Футболка для мальчика Салатовый (092)-52,Салатовый,(092)-52,2,Мужской,"кулирная гладь, 97% хлопок, 3% п/э"
3139,CSK 62418 (231),CSK62418(231)/,CSK 62418 (231) Футболка для мальчика,CSK 62418 (231) Футболка для мальчика Салатовый (116)-60,Салатовый,(116)-60,1,Мужской,"кулирная гладь, 97% хлопок, 3% п/э"
3140,CK 7T117 (223),CK7T117(223)/,CK 7T117 (223) Шорты для девочки,CK 7T117 (223) Шорты для девочки Красный (116)-60,Красный,(116)-60,1,Женский,"поплин, 100% хлопок"
3141,CSK 62461 (222) ,CSK62461(222)/,CSK 62461 (222) Платье для девочки,CSK 62461 (222) Платье для девочки Бирюзовый (098)-56,Бирюзовый,(098)-56,11,Женский,"кулирная гладь, 100% хлопок"
3142,CSK 62461 (222) ,CSK62461(222)/,CSK 62461 (222) Платье для девочки,CSK 62461 (222) Платье для девочки Фуксия (122)-64,Фуксия,(122)-64,19,Женский,"кулирная гладь, 100% хлопок"
3143,CSJ 62363 (237),CSJ62363(237)/,CSJ 62363 (237) Футболка для мальчика,CSJ 62363 (237) Футболка для мальчика Оливковый (128)-64,Оливковый,(128)-64,2,Мужской,"кулирная гладь, 100% хлопок"
3144,CK 7T121 (231),CK7T121(231)/,CK 7T121 (231) Шорты для мальчика,CK 7T121 (231) Шорты для мальчика Красный (116)-60,Красный,(116)-60,1,Мужской,"поплин, 100% хлопок"
3145,CK 7T121 (231),CK7T121(231)/,CK 7T121 (231) Шорты для мальчика,CK 7T121 (231) Шорты для мальчика Т.синий (134)-68,Т.синий,(134)-68,3,Мужской,"поплин, 100% хлопок"
3146,CSK 7878 (231),CSK7878(231)/,CSK 7878 (231) Шорты для мальчика,CSK 7878 (231) Шорты для мальчика Зеленый (116)-60,Зеленый,(116)-60,2,Мужской,"кулирная гладь, 100% хлопок"
3147,CAJ 62443 ,CAJ62443/,CAJ 62443 Джемпер для мальчика,CAJ 62443 Джемпер для мальчика Василек (110)-60,Василек,(110)-60,8,Мужской,"рибана, 95% хлопок, 5% эластан"
3148,CAJ 9856 ,CAJ9856/,"CAJ 9856 Комплект для мальчика (футболка, шорты)","CAJ 9856 Комплект для мальчика (футболка, шорты) Желтый-Т.синий (116)-60",Желтый-Т.синий,(116)-60,11,Мужской,"кулирная гладь, 100% хлопок"
3149,CAJ 9856 ,CAJ9856/,"CAJ 9856 Комплект для мальчика (футболка, шорты)","CAJ 9856 Комплект для мальчика (футболка, шорты) Желтый-Т.синий (122)-64",Желтый-Т.синий,(122)-64,11,Мужской,"кулирная гладь, 100% хлопок"
3150,CAK 4181,CAK4181/,CAK 4181 Купальник гимнастический,CAK 4181 Купальник гимнастический Черный (092)-52,Черный,(092)-52,131,Женский,"кулирная гладь, 92% хлопок, 8% эластан"
3151,CAJ 62442,CAJ62442/,CAJ 62442 Футболка для мальчика,CAJ 62442 Футболка для мальчика Василек (098)-56,Василек,(098)-56,1,Мужской,"кулирная гладь, 100% хлопок"
3152,CAJ 62442-1 ,CAJ62442-1/,CAJ 62442-1 Футболка для мальчика,CAJ 62442-1 Футболка для мальчика Серый меланж (110)-60,Серый меланж,(110)-60,18,Мужской,"кулирная гладь, 80% хлопок, 20% п/э"
3153,CAJ 62149-1 ,CAJ62149-1/,CAJ 62149-1 Водолазка для девочки,CAJ 62149-1 Водолазка для девочки Серый меланж (140)-72,Серый меланж,(140)-72,10,Женский,"кулирная гладь, 72% хлопок, 20% п/э, 8% эластан"
